time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:50:52-07:00,0.000731,130.585938
2026-08-02T15:50:53-07:00,221.447924,134.039062
2026-08-02T15:50:54-07:00,205.943818,131.183594
2026-08-02T15:50:55-07:00,227.961049,131.664062
2026-08-02T15:50:56-07:00,217.696020,129.660156
2026-08-02T15:50:57-07:00,227.170006,137.652344
2026-08-02T15:50:58-07:00,200.203093,139.550781
2026-08-02T15:51:00-07:00,216.752596,133.953125
2026-08-02T15:51:01-07:00,218.546200,133.964844
2026-08-02T15:51:02-07:00,185.516622,128.785156
2026-08-02T15:51:03-07:00,211.389557,138.960938
2026-08-02T15:51:04-07:00,196.373675,132.121094
2026-08-02T15:51:05-07:00,200.142318,137.378906
2026-08-02T15:51:06-07:00,204.165249,129.976562
2026-08-02T15:51:07-07:00,201.056452,173.472656
2026-08-02T15:51:08-07:00,194.063579,125.195312
2026-08-02T15:51:09-07:00,200.472585,132.027344
2026-08-02T15:51:10-07:00,188.181447,137.789062
2026-08-02T15:51:11-07:00,194.195799,140.703125
2026-08-02T15:51:12-07:00,184.653333,134.546875
2026-08-02T15:51:13-07:00,204.414909,143.910156
2026-08-02T15:51:14-07:00,176.168894,136.605469
2026-08-02T15:51:15-07:00,185.864402,133.773438
2026-08-02T15:51:16-07:00,180.438297,137.546875
2026-08-02T15:51:17-07:00,177.800202,139.402344
2026-08-02T15:51:18-07:00,192.508204,136.667969
2026-08-02T15:51:19-07:00,192.398208,137.429688
2026-08-02T15:51:20-07:00,202.707366,140.234375
2026-08-02T15:51:21-07:00,185.279129,134.511719
2026-08-02T15:51:22-07:00,175.463409,133.273438
2026-08-02T15:51:24-07:00,183.088734,145.839844
2026-08-02T15:51:25-07:00,189.076688,128.699219
2026-08-02T15:51:26-07:00,183.112552,130.105469
2026-08-02T15:51:27-07:00,187.572684,137.578125
2026-08-02T15:51:28-07:00,182.174051,134.000000
2026-08-02T15:51:29-07:00,197.104243,140.625000
2026-08-02T15:51:30-07:00,189.732607,137.386719
2026-08-02T15:51:31-07:00,182.500077,137.925781
2026-08-02T15:51:32-07:00,188.351562,137.695312
2026-08-02T15:51:33-07:00,190.008252,123.957031
2026-08-02T15:51:34-07:00,200.651325,133.773438
2026-08-02T15:51:35-07:00,212.812995,134.984375
2026-08-02T15:51:36-07:00,184.308261,134.128906
2026-08-02T15:51:37-07:00,265.684662,133.687500
2026-08-02T15:51:38-07:00,292.999823,133.445312
2026-08-02T15:51:39-07:00,273.669715,133.957031
2026-08-02T15:51:40-07:00,308.799188,134.625000
2026-08-02T15:51:41-07:00,319.809514,134.640625
2026-08-02T15:51:42-07:00,294.133464,134.167969
2026-08-02T15:51:43-07:00,290.042157,134.902344
2026-08-02T15:51:44-07:00,296.885704,134.406250
2026-08-02T15:51:45-07:00,301.627139,134.917969
2026-08-02T15:51:46-07:00,290.061538,134.781250
2026-08-02T15:51:47-07:00,288.827295,135.292969
2026-08-02T15:51:48-07:00,286.729412,135.042969
2026-08-02T15:51:49-07:00,281.124056,135.039062
2026-08-02T15:51:50-07:00,295.996041,135.058594
2026-08-02T15:51:51-07:00,296.931204,134.550781
