time,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
2026-08-02T15:52:02-07:00,20574.850299,0.292112,0.580754
2026-08-02T15:52:03-07:00,20199.398798,0.284207,0.570270
2026-08-02T15:52:04-07:00,14586.826347,0.204940,0.411675
2026-08-02T15:52:05-07:00,16473.947896,0.227030,0.465762
2026-08-02T15:52:06-07:00,17887.896825,0.254594,0.505832
2026-08-02T15:52:07-07:00,14352.822581,0.205294,0.406409
2026-08-02T15:52:08-07:00,14262.000000,0.193247,0.402491
2026-08-02T15:52:09-07:00,14459.000000,0.202308,0.408190
2026-08-02T15:52:10-07:00,12897.000000,0.180339,0.363838
2026-08-02T15:52:11-07:00,14982.000000,0.214525,0.423334
2026-08-02T15:52:12-07:00,14332.000000,0.204399,0.405274
2026-08-02T15:52:13-07:00,13624.000000,0.189642,0.385657
2026-08-02T15:52:14-07:00,13256.000000,0.185075,0.375405
2026-08-02T15:52:15-07:00,15285.000000,0.215231,0.431439
2026-08-02T15:52:16-07:00,13606.000000,0.187660,0.384517
2026-08-02T15:52:17-07:00,13364.000000,0.191047,0.378144
2026-08-02T15:52:18-07:00,14579.000000,0.208742,0.411218
2026-08-02T15:52:19-07:00,14190.000000,0.199474,0.401390
2026-08-02T15:52:20-07:00,15122.000000,0.209945,0.426296
2026-08-02T15:52:21-07:00,14222.554890,0.201290,0.401883
2026-08-02T15:52:22-07:00,15161.322645,0.209355,0.428380
2026-08-02T15:52:23-07:00,15906.000000,0.225986,0.450109
2026-08-02T15:52:24-07:00,13999.000000,0.191292,0.395629
2026-08-02T15:52:25-07:00,14996.000000,0.199492,0.423690
2026-08-02T15:52:26-07:00,13274.000000,0.186969,0.375588
2026-08-02T15:52:27-07:00,15153.692615,0.212821,0.428014
2026-08-02T15:52:28-07:00,13773.547094,0.196344,0.389332
2026-08-02T15:52:29-07:00,15650.698603,0.219363,0.441288
2026-08-02T15:52:30-07:00,13142.284569,0.186829,0.371205
2026-08-02T15:52:31-07:00,14209.000000,0.204384,0.401083
2026-08-02T15:52:32-07:00,14966.067864,0.211068,0.422306
2026-08-02T15:52:33-07:00,13720.440882,0.194290,0.387737
2026-08-02T15:52:34-07:00,15038.000000,0.211471,0.425681
2026-08-02T15:52:35-07:00,13871.385842,0.194261,0.391842
2026-08-02T15:52:36-07:00,15010.000000,0.208556,0.424502
2026-08-02T15:52:37-07:00,14490.471414,0.205296,0.408638
2026-08-02T15:52:38-07:00,14828.000000,0.211400,0.419758
2026-08-02T15:52:39-07:00,13889.000000,0.188398,0.392887
2026-08-02T15:52:40-07:00,14737.000000,0.208665,0.416505
2026-08-02T15:52:41-07:00,13327.000000,0.190905,0.377875
2026-08-02T15:52:42-07:00,14818.000000,0.209431,0.418504
2026-08-02T15:52:43-07:00,14176.000000,0.200242,0.400228
2026-08-02T15:52:44-07:00,13514.000000,0.189904,0.381689
2026-08-02T15:52:45-07:00,14008.982036,0.201737,0.396382
2026-08-02T15:52:46-07:00,14411.823647,0.202987,0.407385
2026-08-02T15:52:47-07:00,14743.512974,0.211340,0.417192
2026-08-02T15:52:48-07:00,13910.821643,0.201666,0.392833
2026-08-02T15:52:49-07:00,10705.000000,0.156423,0.302265
2026-08-02T15:52:50-07:00,12406.000000,0.183439,0.350994
2026-08-02T15:52:51-07:00,11211.000000,0.167953,0.317415
2026-08-02T15:52:52-07:00,14514.000000,0.206473,0.410149
2026-08-02T15:52:53-07:00,13765.000000,0.195590,0.388992
2026-08-02T15:52:54-07:00,13188.000000,0.185854,0.373277
2026-08-02T15:52:55-07:00,13481.000000,0.189606,0.381325
2026-08-02T15:52:56-07:00,14788.000000,0.207887,0.417731
2026-08-02T15:52:57-07:00,14302.000000,0.198048,0.402747
2026-08-02T15:52:58-07:00,14611.000000,0.207201,0.413415
2026-08-02T15:52:59-07:00,11886.000000,0.169731,0.335682
2026-08-02T15:53:00-07:00,14573.000000,0.202880,0.413185
