time,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
2026-08-02T15:43:19-07:00,17370.000000,0.245491,0.490530
2026-08-02T15:43:20-07:00,18543.000000,0.261518,0.523776
2026-08-02T15:43:21-07:00,19252.000000,0.274784,0.543413
2026-08-02T15:43:22-07:00,19257.000000,0.273158,0.543165
2026-08-02T15:43:23-07:00,18893.000000,0.270705,0.533838
2026-08-02T15:43:24-07:00,18423.000000,0.261323,0.521445
2026-08-02T15:43:25-07:00,18287.000000,0.259836,0.516230
2026-08-02T15:43:26-07:00,18918.000000,0.264402,0.534126
2026-08-02T15:43:27-07:00,18602.000000,0.260905,0.525903
2026-08-02T15:43:28-07:00,18375.000000,0.257966,0.518894
2026-08-02T15:43:29-07:00,18624.000000,0.264340,0.526278
2026-08-02T15:43:30-07:00,18035.928144,0.255199,0.509532
2026-08-02T15:43:31-07:00,18503.006012,0.261129,0.522929
2026-08-02T15:43:32-07:00,19330.000000,0.277862,0.546036
2026-08-02T15:43:33-07:00,20111.000000,0.284890,0.568215
2026-08-02T15:43:34-07:00,20237.000000,0.287461,0.571641
2026-08-02T15:43:35-07:00,20197.000000,0.287392,0.570728
2026-08-02T15:43:36-07:00,20607.000000,0.289320,0.582400
2026-08-02T15:43:37-07:00,19449.000000,0.275401,0.549974
2026-08-02T15:43:38-07:00,17724.000000,0.248879,0.500881
2026-08-02T15:43:39-07:00,18370.000000,0.257897,0.519130
2026-08-02T15:43:40-07:00,18014.000000,0.253431,0.508839
2026-08-02T15:43:41-07:00,18698.000000,0.265654,0.528411
2026-08-02T15:43:42-07:00,18321.000000,0.257459,0.517816
2026-08-02T15:43:43-07:00,18990.000000,0.270418,0.536711
2026-08-02T15:43:44-07:00,18078.000000,0.256248,0.510456
2026-08-02T15:43:45-07:00,19192.000000,0.268744,0.541936
2026-08-02T15:43:46-07:00,18474.000000,0.260588,0.521245
2026-08-02T15:43:47-07:00,17433.000000,0.248110,0.493661
2026-08-02T15:43:48-07:00,19028.000000,0.268579,0.537827
2026-08-02T15:43:49-07:00,19721.000000,0.280568,0.557641
2026-08-02T15:43:50-07:00,21064.000000,0.296703,0.594722
2026-08-02T15:43:51-07:00,20521.000000,0.294321,0.579838
2026-08-02T15:43:52-07:00,18591.000000,0.257950,0.525418
2026-08-02T15:43:53-07:00,18687.000000,0.264690,0.528414
2026-08-02T15:43:54-07:00,18111.000000,0.249579,0.512195
2026-08-02T15:43:55-07:00,18761.000000,0.263657,0.530074
2026-08-02T15:43:56-07:00,19511.000000,0.278134,0.551621
2026-08-02T15:43:57-07:00,18157.000000,0.257576,0.514315
2026-08-02T15:43:58-07:00,18537.000000,0.262174,0.524486
2026-08-02T15:43:59-07:00,17798.000000,0.251554,0.501723
2026-08-02T15:44:00-07:00,18578.000000,0.261768,0.525741
2026-08-02T15:44:01-07:00,18198.000000,0.258599,0.514475
2026-08-02T15:44:02-07:00,17587.000000,0.250929,0.497116
2026-08-02T15:44:03-07:00,17319.000000,0.241987,0.489816
2026-08-02T15:44:04-07:00,20806.000000,0.293514,0.588432
2026-08-02T15:44:05-07:00,20382.000000,0.288997,0.575981
2026-08-02T15:44:06-07:00,18471.000000,0.259264,0.521917
2026-08-02T15:44:07-07:00,19999.000000,0.284307,0.566415
2026-08-02T15:44:08-07:00,19340.000000,0.273116,0.546432
2026-08-02T15:44:09-07:00,18182.000000,0.257677,0.513877
2026-08-02T15:44:10-07:00,18537.000000,0.264004,0.523722
2026-08-02T15:44:11-07:00,17489.000000,0.246254,0.494789
2026-08-02T15:44:12-07:00,17894.000000,0.257846,0.505714
2026-08-02T15:44:13-07:00,16921.000000,0.240386,0.479567
2026-08-02T15:44:14-07:00,17403.000000,0.245952,0.491203
2026-08-02T15:44:15-07:00,17613.000000,0.251194,0.498185
2026-08-02T15:44:16-07:00,17153.000000,0.240479,0.484742
2026-08-02T15:44:17-07:00,16922.000000,0.237742,0.478811
