time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:47:39-07:00,0.000159,112.136719
2026-08-02T15:47:40-07:00,152.223518,117.691406
2026-08-02T15:47:41-07:00,147.410311,117.523438
2026-08-02T15:47:42-07:00,173.411825,117.843750
2026-08-02T15:47:43-07:00,154.452479,117.632812
2026-08-02T15:47:44-07:00,152.037959,117.648438
2026-08-02T15:47:45-07:00,162.544971,117.671875
2026-08-02T15:47:46-07:00,143.582010,118.679688
2026-08-02T15:47:47-07:00,153.172342,117.710938
2026-08-02T15:47:48-07:00,174.451385,118.484375
2026-08-02T15:47:49-07:00,174.994358,118.261719
2026-08-02T15:47:50-07:00,213.268478,118.769531
2026-08-02T15:47:51-07:00,210.088005,118.640625
2026-08-02T15:47:52-07:00,210.328457,118.402344
2026-08-02T15:47:53-07:00,223.455199,118.902344
2026-08-02T15:47:54-07:00,216.472859,118.921875
2026-08-02T15:47:55-07:00,226.190373,118.937500
2026-08-02T15:47:56-07:00,207.383016,119.695312
2026-08-02T15:47:57-07:00,216.578150,118.710938
2026-08-02T15:47:58-07:00,217.352524,118.984375
2026-08-02T15:47:59-07:00,217.355987,118.488281
2026-08-02T15:48:00-07:00,216.456405,119.484375
2026-08-02T15:48:01-07:00,214.277157,119.000000
2026-08-02T15:48:02-07:00,214.130441,118.503906
2026-08-02T15:48:03-07:00,220.588528,118.515625
2026-08-02T15:48:04-07:00,211.762956,119.515625
2026-08-02T15:48:05-07:00,214.713958,118.519531
2026-08-02T15:48:06-07:00,210.610955,118.523438
2026-08-02T15:48:07-07:00,210.554704,118.773438
2026-08-02T15:48:08-07:00,221.759090,118.527344
2026-08-02T15:48:09-07:00,218.217792,118.535156
2026-08-02T15:48:10-07:00,224.768850,119.027344
2026-08-02T15:48:11-07:00,213.372480,118.539062
2026-08-02T15:48:12-07:00,220.504919,118.539062
2026-08-02T15:48:13-07:00,222.270037,119.792969
2026-08-02T15:48:14-07:00,216.031517,119.175781
2026-08-02T15:48:15-07:00,219.791828,118.683594
2026-08-02T15:48:16-07:00,213.152122,118.929688
2026-08-02T15:48:17-07:00,201.702478,119.183594
2026-08-02T15:48:18-07:00,222.349303,119.937500
2026-08-02T15:48:19-07:00,220.152916,119.183594
2026-08-02T15:48:20-07:00,214.852632,119.699219
2026-08-02T15:48:21-07:00,208.594835,118.714844
2026-08-02T15:48:22-07:00,215.302295,118.722656
2026-08-02T15:48:24-07:00,224.695103,119.210938
2026-08-02T15:48:25-07:00,210.921557,119.218750
2026-08-02T15:48:26-07:00,217.052955,119.855469
2026-08-02T15:48:27-07:00,199.681221,118.863281
2026-08-02T15:48:28-07:00,198.591074,119.363281
2026-08-02T15:48:29-07:00,218.582511,119.871094
2026-08-02T15:48:30-07:00,222.794720,119.867188
2026-08-02T15:48:31-07:00,221.808503,119.371094
2026-08-02T15:48:32-07:00,215.179290,118.882812
2026-08-02T15:48:33-07:00,208.879860,118.886719
2026-08-02T15:48:34-07:00,221.078200,120.378906
2026-08-02T15:48:35-07:00,217.077286,120.128906
2026-08-02T15:48:36-07:00,211.389588,119.886719
2026-08-02T15:48:37-07:00,214.680555,119.144531
2026-08-02T15:48:38-07:00,216.557909,118.902344
2026-08-02T15:48:39-07:00,216.124861,119.898438
