time,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
2026-08-02T15:38:58-07:00,29028.000000,0.820701,0.820653
2026-08-02T15:38:59-07:00,29228.000000,0.827651,0.827651
2026-08-02T15:39:00-07:00,30619.000000,0.864600,0.864600
2026-08-02T15:39:01-07:00,28166.000000,0.795166,0.795166
2026-08-02T15:39:02-07:00,28268.000000,0.798663,0.798663
2026-08-02T15:39:03-07:00,28661.000000,0.809405,0.809470
2026-08-02T15:39:04-07:00,30054.000000,0.849561,0.849496
2026-08-02T15:39:05-07:00,31328.000000,0.885527,0.885500
2026-08-02T15:39:06-07:00,31869.000000,0.899266,0.899293
2026-08-02T15:39:07-07:00,30636.000000,0.866081,0.866081
2026-08-02T15:39:08-07:00,31639.000000,0.894076,0.894076
2026-08-02T15:39:09-07:00,29705.000000,0.839862,0.839891
2026-08-02T15:39:10-07:00,30558.000000,0.863860,0.863831
2026-08-02T15:39:11-07:00,28274.000000,0.797915,0.797915
2026-08-02T15:39:12-07:00,33174.000000,0.937900,0.937952
2026-08-02T15:39:13-07:00,28714.000000,0.811762,0.811709
2026-08-02T15:39:14-07:00,28535.000000,0.806228,0.806228
2026-08-02T15:39:15-07:00,29188.000000,0.825237,0.825237
2026-08-02T15:39:16-07:00,26093.532338,0.736979,0.736979
2026-08-02T15:39:17-07:00,32889.447236,0.929416,0.929416
2026-08-02T15:39:18-07:00,30480.000000,0.861314,0.861345
2026-08-02T15:39:19-07:00,29364.541833,0.829478,0.829475
2026-08-02T15:39:20-07:00,29564.257028,0.835447,0.835419
2026-08-02T15:39:21-07:00,30080.000000,0.849644,0.849674
2026-08-02T15:39:22-07:00,28183.000000,0.795929,0.795898
2026-08-02T15:39:23-07:00,29644.000000,0.836691,0.836716
2026-08-02T15:39:24-07:00,28255.000000,0.796874,0.796849
2026-08-02T15:39:25-07:00,29032.000000,0.820786,0.820786
2026-08-02T15:39:26-07:00,28867.000000,0.814608,0.814608
2026-08-02T15:39:27-07:00,29433.000000,0.831970,0.831970
2026-08-02T15:39:28-07:00,31654.000000,0.893249,0.893249
2026-08-02T15:39:29-07:00,32538.000000,0.919602,0.919602
2026-08-02T15:39:30-07:00,27162.000000,0.768287,0.768287
2026-08-02T15:39:31-07:00,28178.000000,0.796461,0.796481
2026-08-02T15:39:32-07:00,27984.000000,0.790891,0.790871
2026-08-02T15:39:33-07:00,31692.000000,0.894526,0.894526
2026-08-02T15:39:34-07:00,29009.000000,0.820384,0.820384
2026-08-02T15:39:35-07:00,29509.000000,0.834393,0.834393
2026-08-02T15:39:36-07:00,28946.000000,0.818096,0.818096
2026-08-02T15:39:37-07:00,32905.000000,0.930167,0.930167
2026-08-02T15:39:38-07:00,30750.000000,0.869519,0.869433
2026-08-02T15:39:39-07:00,30002.000000,0.847708,0.847794
2026-08-02T15:39:40-07:00,29497.000000,0.833366,0.833366
2026-08-02T15:39:41-07:00,29195.000000,0.824626,0.824626
2026-08-02T15:39:42-07:00,32659.000000,0.923530,0.923530
2026-08-02T15:39:43-07:00,30057.000000,0.849333,0.849360
2026-08-02T15:39:44-07:00,28781.000000,0.812833,0.812806
2026-08-02T15:39:45-07:00,32127.000000,0.908836,0.908858
2026-08-02T15:39:46-07:00,28332.000000,0.799962,0.799940
2026-08-02T15:39:47-07:00,26907.000000,0.760954,0.760954
2026-08-02T15:39:48-07:00,30862.000000,0.873825,0.873825
2026-08-02T15:39:49-07:00,28681.000000,0.810338,0.810338
2026-08-02T15:39:50-07:00,29232.000000,0.826175,0.826175
2026-08-02T15:39:51-07:00,29586.000000,0.837296,0.837296
2026-08-02T15:39:52-07:00,32351.000000,0.913320,0.913320
2026-08-02T15:39:53-07:00,31411.000000,0.887306,0.887306
2026-08-02T15:39:54-07:00,27681.000000,0.780507,0.780507
2026-08-02T15:39:55-07:00,27684.000000,0.782706,0.782706
2026-08-02T15:39:56-07:00,28355.000000,0.801524,0.801524
