time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:41:07-07:00,0.000236,115.832031
2026-08-02T15:41:08-07:00,196.034490,116.695312
2026-08-02T15:41:09-07:00,204.222183,117.738281
2026-08-02T15:41:10-07:00,207.960151,117.250000
2026-08-02T15:41:11-07:00,197.856791,118.250000
2026-08-02T15:41:12-07:00,199.621297,117.046875
2026-08-02T15:41:13-07:00,201.031324,117.066406
2026-08-02T15:41:14-07:00,193.699438,117.882812
2026-08-02T15:41:15-07:00,201.264264,117.949219
2026-08-02T15:41:16-07:00,204.308694,118.203125
2026-08-02T15:41:17-07:00,193.725765,119.203125
2026-08-02T15:41:18-07:00,200.174115,118.230469
2026-08-02T15:41:19-07:00,201.806970,117.750000
2026-08-02T15:41:20-07:00,206.066303,117.761719
2026-08-02T15:41:21-07:00,195.391736,118.007812
2026-08-02T15:41:22-07:00,194.993346,117.519531
2026-08-02T15:41:23-07:00,199.515920,117.781250
2026-08-02T15:41:24-07:00,198.934734,117.531250
2026-08-02T15:41:25-07:00,203.379520,117.785156
2026-08-02T15:41:26-07:00,198.524637,118.105469
2026-08-02T15:41:27-07:00,201.477445,118.367188
2026-08-02T15:41:28-07:00,200.105826,118.121094
2026-08-02T15:41:29-07:00,202.867095,118.125000
2026-08-02T15:41:30-07:00,208.998505,118.953125
2026-08-02T15:41:31-07:00,202.011414,118.312500
2026-08-02T15:41:32-07:00,191.924646,118.296875
2026-08-02T15:41:33-07:00,197.162673,118.062500
2026-08-02T15:41:34-07:00,193.314543,118.058594
2026-08-02T15:41:35-07:00,200.802722,118.570312
2026-08-02T15:41:36-07:00,206.402328,118.328125
2026-08-02T15:41:37-07:00,203.347273,118.574219
2026-08-02T15:41:38-07:00,200.237276,118.832031
2026-08-02T15:41:39-07:00,207.727411,120.804688
2026-08-02T15:41:40-07:00,212.082072,120.363281
2026-08-02T15:41:41-07:00,194.294042,119.871094
2026-08-02T15:41:42-07:00,191.120962,119.878906
2026-08-02T15:41:43-07:00,200.022594,119.632812
2026-08-02T15:41:44-07:00,195.508762,120.132812
2026-08-02T15:41:45-07:00,206.793039,120.378906
2026-08-02T15:41:46-07:00,201.081750,120.101562
2026-08-02T15:41:47-07:00,192.396018,120.851562
2026-08-02T15:41:48-07:00,171.576748,120.355469
2026-08-02T15:41:49-07:00,170.983737,121.113281
2026-08-02T15:41:50-07:00,174.763855,120.824219
2026-08-02T15:41:51-07:00,175.083521,120.574219
2026-08-02T15:41:52-07:00,188.095492,120.578125
2026-08-02T15:41:53-07:00,197.639129,121.074219
2026-08-02T15:41:54-07:00,201.714575,121.085938
2026-08-02T15:41:55-07:00,203.694978,120.843750
2026-08-02T15:41:56-07:00,201.941159,120.589844
2026-08-02T15:41:57-07:00,197.079924,121.093750
2026-08-02T15:41:58-07:00,201.436028,121.093750
2026-08-02T15:41:59-07:00,200.095171,121.105469
2026-08-02T15:42:00-07:00,196.144911,120.609375
2026-08-02T15:42:01-07:00,185.878589,120.855469
2026-08-02T15:42:02-07:00,194.533526,120.617188
2026-08-02T15:42:03-07:00,206.242291,121.359375
2026-08-02T15:42:04-07:00,198.737699,121.492188
2026-08-02T15:42:05-07:00,200.209899,121.242188
2026-08-02T15:42:06-07:00,201.951043,120.992188
